0;267;-105726.06;-102732.3;Bom;Fechado dos Lados;Yes;SCoTTURB;470;1521;Estrada da Ribeira da Laje;Porto Salvo
1;513;-107854.63;-102915.29;Bom;Fechado dos Lados;Yes;SCoTTURB;470;1422;Rua da Quinta Grande;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
2;556;-107825.00067489175;-103153.47411185557;Bom;Sem Abrigo;No;SCoTTURB;470;1422;Rua da Quinta Grande;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
3;522;-107811.57;-103173.61;Bom;Fechado dos Lados;Yes;SCoTTURB;470;1422;Rua da Quinta Grande;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
4;515;-107839.61;-103572.1;Bom;Sem Abrigo;No;SCoTTURB;470;550;Alameda Conde de Oeiras;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
5;500;-107558.36;-103601.65;Bom;Fechado dos Lados;Yes;SCoTTURB;470;1516;Rua Monsenhor Ferreira de Melo;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
6;927;-107720.84935906461;-103624.00113664304;Bom;Sem Abrigo;No;SCoTTURB;470;550;Alameda Conde de Oeiras;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
7;511;-107822.87;-103711.43;Bom;Sem Abrigo;No;SCoTTURB;470;569;Rua Doutor José Carlos Moreira;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
8;512;-107836.26;-103714.18;Bom;Fechado dos Lados;Yes;SCoTTURB;470;569;Rua Doutor José Carlos Moreira;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
9;372;-107025.86;-103844.74;Bom;Sem Abrigo;No;SCoTTURB;470;1338;Avenida Gonçalves Zarco;Desconhecido
10;520;-107795.85;-103878.54;Bom;Fechado dos Lados;Yes;SCoTTURB;470;557;Avenida Dom José I;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
11;519;-107802.03;-103891.09;Bom;Sem Abrigo;No;SCoTTURB;470;557;Avenida Dom José I;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
12;265;-107430.38;-103996.06;Bom;Fechado dos Lados;Yes;SCoTTURB;470;557;Avenida Dom José I;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
13;264;-107670.49;-103999.05;Bom;Fechado dos Lados;Yes;SCoTTURB;470;557;Avenida Dom José I;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
14;263;-107314.88;-104013.15;Bom;Fechado dos Lados;Yes;SCoTTURB;470;1426;Avenida da República;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
15;824;-107062.58;-104020.28;Bom;Fechado dos Lados;No;SCoTTURB;470;1338;Avenida Gonçalves Zarco;Desconhecido
16;262;-107284.78;-104045.09;Bom;Fechado dos Lados;Yes;SCoTTURB;470;1426;Avenida da República;Oeiras e São Julião da Barra, Paço de Arcos e Caxias
17;825;-107055.50456594217;-104067.91249783145;Bom;Sem Abrigo;No;SCoTTURB;470;1338;Avenida Gonçalves Zarco;Desconhecido
